Country,Continent,Leisure,Work,Size
Algeria,Africa,31.1,73.35,1
Argentina,Americas,41.95,64.4,1
Australia,Oceania,61.05,45.7,1
Armenia,Asia,39.45,78.35,1
Brazil,Americas,53.1,79.45,1
Chile,Americas,67.95,66.75,1
China,Asia,31.6,49.5,1
Colombia,Americas,59.55,86.2,1
Cyprus,Europe,67.25,74.3,1
Estonia,Europe,52.75,55.45,1
Palestine,Asia,30.85,66.1,1
Germany,Europe,52.8,47.7,1
India,Asia,33.95,82.75,1
Iraq,Asia,13.4,72.7,1
Japan,Asia,60.7,62.05,1
South Korea,Asia,52.25,69.9,1
Libya,Africa,48,77.9,1
Mexico,Americas,64.15,88.15,1
Morocco,Africa,-0.8,86.05,1
Netherlands,Europe,63.65,42.65,1
New Zealand,Oceania,64.85,49,1
Poland,Europe,53.25,70.9,1
Romania,Europe,43.8,67.05,1
Russia,Europe,37.65,45.25,1
Singapore,Asia,56.45,52.85,1
Slovenia,Europe,57.75,58.55,1
South Africa,Africa,36.4,58,1
Zimbabwe,Africa,48.85,89.45,1
Spain,Europe,63.85,63.35,1
Sweden,Europe,72,61.35,1
Thailand,Asia,39.35,74.7,1
Turkey,Asia,55.7,53.8,1
Egypt,Africa,17.3,58.8,1
United States,Americas,59.8,44.7,1
Uruguay,Americas,61,69.8,1
